model,uid,recommendation,positive,recall,precision,f1,wcoverage
gemma2-9b-it,2276,The Girl on the Train - by Paula Hawkins,FALSE,0.4,0.6666666666666666,0.5,0.21666666666666665
gemma2-9b-it,2276,The Rosie Project - by Graeme Simsion,TRUE,0.4,0.6666666666666666,0.5,0.2611111111111111
gemma2-9b-it,2276,The Silent Patient - by Alex Michaelides,FALSE,0.5,0.5,0.5,0.29166666666666663
gemma2-9b-it,2276,"Where'd You Go, Bernadette - by Maria Semple",TRUE,0.25,0.3333333333333333,0.28571428571428575,0.06944444444444445
gemma2-9b-it,8864,Small Gods - by Terry Pratchett,TRUE,0.25,0.5,0.3333333333333333,0.03888888888888889
gemma2-9b-it,8864,The Left Hand of Darkness - by Ursula K. Le Guin,FALSE,0.25,0.3333333333333333,0.28571428571428575,0.11388888888888889
gemma2-9b-it,8864,The Long Earth - by Terry Pratchett & Stephen Baxter,TRUE,0.3333333333333333,1,0.5,0.3055555555555555
gemma2-9b-it,8864,The Mote in God's Eye - by Larry Niven & Jerry Pournelle,FALSE,0,0,NA,0.3055555555555555
gemma2-9b-it,12122,The Da Vinci Code - by Dan Brown,FALSE,0.4,0.6666666666666666,0.5,0.1944444444444444
gemma2-9b-it,12122,The Fire Next Time - by James Baldwin,TRUE,0.3333333333333333,1,0.5,0.08611111111111111
gemma2-9b-it,12122,The Girl on the Train - by Paula Hawkins,FALSE,0.3333333333333333,1,0.5,0.3
gemma2-9b-it,12122,The Nickel Boys - by Colson Whitehead,TRUE,0.5,1,0.6666666666666666,0.2583333333333333
gemma2-9b-it,14998,Dune - by Frank Herbert,FALSE,0.25,1,0.4,0.3916666666666666
gemma2-9b-it,14998,The Chronicles of Amber - by Roger Zelazny,TRUE,0.6666666666666666,1,0.8,0.11944444444444442
gemma2-9b-it,14998,The Hitchhiker's Guide to the Galaxy - by Douglas Adams,FALSE,0.2,1,0.33333333333333337,0.20555555555555555
gemma2-9b-it,14998,The Time Machine - by H.G. Wells,TRUE,0.4,1,0.5714285714285715,0.2472222222222222
gemma2-9b-it,15957,Fifty Shades of Grey - by E. L. James,FALSE,0,0,NA,0.5333333333333332
gemma2-9b-it,15957,The Da Vinci Code - by Dan Brown,FALSE,0,0,NA,0.3833333333333333
